enrollment_id,student_id,course_id,semester_id,enrollment_date,midterm_score,final_score,total_score,grade_letter,status,attendance_count,absence_count
ENR001,SV001,CS101,SEM2020F,2020-09-01,7.5,8.0,7.8,B,Completed,28,2
ENR002,SV001,MA101,SEM2020F,2020-09-01,6.5,7.0,6.8,C+,Completed,27,3
ENR003,SV001,EN101,SEM2020F,2020-09-01,8.0,8.5,8.3,B+,Completed,29,1
ENR004,SV001,CS102,SEM2021S,2021-02-01,7.0,7.5,7.3,B,Completed,26,4
ENR005,SV001,MA102,SEM2021S,2021-02-01,6.0,6.5,6.3,C+,Completed,25,5
ENR006,SV002,BA101,SEM2019F,2019-09-01,8.5,9.0,8.8,A,Completed,30,0
ENR007,SV002,BA102,SEM2019F,2019-09-01,8.0,8.5,8.3,B+,Completed,29,1
ENR008,SV002,BA201,SEM2020S,2020-02-01,7.5,8.0,7.8,B,Completed,28,2
ENR009,SV002,BA202,SEM2020S,2020-02-01,9.0,9.5,9.3,A,Completed,30,0
ENR010,SV003,CS101,SEM2021F,2021-09-01,7.0,7.5,7.3,B,Completed,27,3
ENR011,SV003,MA101,SEM2021F,2021-09-01,6.5,7.0,6.8,C+,Completed,26,4
ENR012,SV003,EN101,SEM2021F,2021-09-01,7.5,8.0,7.8,B,Completed,28,2
ENR013,SV004,CS101,SEM2020F,2020-09-01,8.0,8.5,8.3,B+,Completed,29,1
ENR014,SV004,BA101,SEM2020F,2020-09-01,7.5,8.0,7.8,B,Completed,28,2
ENR015,SV004,EN101,SEM2020F,2020-09-01,8.5,9.0,8.8,A,Completed,30,0
ENR016,SV005,BA101,SEM2018F,2018-09-01,7.0,7.5,7.3,B,Completed,27,3
ENR017,SV005,BA102,SEM2018F,2018-09-01,6.5,7.0,6.8,C+,Completed,25,5
ENR018,SV005,BA201,SEM2019S,2019-02-01,7.5,8.0,7.8,B,Completed,28,2
ENR019,SV006,CS101,SEM2020F,2020-09-01,6.0,6.5,6.3,C+,Completed,24,6
ENR020,SV006,MA101,SEM2020F,2020-09-01,5.5,6.0,5.8,C,Completed,23,7
ENR021,SV007,BA101,SEM2019F,2019-09-01,8.0,8.5,8.3,B+,Completed,29,1
ENR022,SV007,EN101,SEM2019F,2019-09-01,7.0,7.5,7.3,B,Completed,27,3
ENR023,SV008,BA101,SEM2021F,2021-09-01,7.5,8.0,7.8,B,Completed,28,2
ENR024,SV008,BA102,SEM2021F,2021-09-01,8.0,8.5,8.3,B+,Completed,29,1
ENR025,SV009,CS101,SEM2020F,2020-09-01,9.0,9.5,9.3,A,Completed,30,0
ENR026,SV009,CS102,SEM2021S,2021-02-01,8.5,9.0,8.8,A,Completed,29,1
ENR027,SV010,BA301,SEM2019F,2019-09-01,7.5,8.0,7.8,B,Completed,28,2
ENR028,SV010,BA302,SEM2019F,2019-09-01,8.0,8.5,8.3,B+,Completed,29,1
ENR029,SV011,BA201,SEM2018F,2018-09-01,6.5,7.0,6.8,C+,Completed,26,4
ENR030,SV011,BA202,SEM2019S,2019-02-01,7.0,7.5,7.3,B,Completed,27,3
